timestamp,player_name,total_games,wins,losses,win_ratio,avg_guesses,overall_most_used_word,overall_least_used_word,most_used_word_row1,most_used_word_row2,most_used_word_row3,most_used_word_row4,most_used_word_row5,most_used_word_row6,win_dist_row1,win_dist_row2,win_dist_row3,win_dist_row4,win_dist_row5,win_dist_row6,avg_row1_yellow,avg_row2_yellow,avg_row3_yellow,avg_row4_yellow,avg_row5_yellow,avg_row6_yellow,avg_row1_green,avg_row2_green,avg_row3_green,avg_row4_green,avg_row5_green,avg_row6_green
20240913_085800,RandomGuesser,2309,1043,1266,0.4517106972715461,5.069031639501438,GEEST,SNELL,SWEAR,GLINT,HENCE,MARGA,BRIBE,MOOCH,0,7,81,168,364,423,0.8224339540926808,1.0918146383715894,1.003475238922676,0.8523187753264295,0.6804676083779835,0.5973949082297217,0.34603724556084886,0.8770030316154179,1.5173761946133797,2.1292210715893742,2.7364831953239164,3.1018354055654234
20240913_085824,RandomGuesser,2309,1023,1286,0.44304893893460373,5.052785923753666,FEIGN,ACHES,SHOOS,BRISE,MARMA,KHAYA,FULLY,PROOF,0,11,65,208,314,425,0.8822000866175834,1.0887830229536597,1.0026109660574412,0.8683385579937304,0.7214814814814815,0.559906487434249,0.3378085751407536,0.8813339107838891,1.4817232375979112,2.142409314823108,2.639012345679012,3.123904149620105
20240913_223457,RandomGuesser,2309,1059,1250,0.45864010394110005,5.067044381491973,SMASH,CULMS,ABEAT,HIRES,JAPED,LIVER,BELEE,ACARA,0,8,65,201,359,426,0.8254655695106107,1.076223473365093,1.0004345936549326,0.813953488372093,0.6850122850122851,0.6056085918854416,0.35469900389779124,0.9016890428757037,1.5193394176445023,2.170393559928444,2.735135135135135,3.149164677804296
20240913_231531,RandomGuesser,2309,1145,1164,0.4958856647899524,5.066375545851528,SCREE,HAMBA,FOURS,FLAMM,GRUFF,GAZAL,CULLY,BELEE,0,9,72,211,395,458,0.8683412732784755,1.065396275443915,0.9965217391304347,0.8025134649910234,0.6499752107089737,0.5542540073982737,0.3469034213945431,0.9038544824599394,1.5421739130434782,2.214991023339318,2.8135845314823995,3.223181257706535
20240913_231630,RandomGuesser,2309,1085,1224,0.4699003897791252,5.053456221198156,MADAL,BITOS,NABOB,PACTA,SLEEP,APACE,COOPT,DEEDY,0,10,65,199,394,417,0.8220008661758337,1.068860978778692,0.9934754240974336,0.8321396598030438,0.6687960687960688,0.5770871419865935,0.34213945430922477,0.8744045041143352,1.526750761200522,2.2041181736794986,2.802948402948403,3.137720901889092
20240913_231758,RandomGuesser,2309,1062,1247,0.4599393676916414,5.094161958568738,AVALE,VOLET,STETS,HANGI,LEMEL,FLACK,ALALA,CLICK,0,8,68,196,334,456,0.8735383282806409,1.072758770030316,1.0099956540634507,0.8159426780116436,0.6980854197349042,0.5484439224897241,0.3252490255521871,0.8497184928540493,1.5158626684050414,2.1522615315718765,2.705940108001964,3.2002348796241926
20240913_232539,RandomGuesser,2309,1111,1198,0.48116067561715026,5.036903690369037,MUDDY,PUFFS,ILLTH,TRIAD,ORTET,DIRTY,BAJRA,LOLLY,0,7,73,223,377,431,0.8336942399307059,1.0814205283672587,0.9774109470026064,0.8209959623149394,0.6999002991026919,0.6101903007980356,0.3473365093113902,0.8908618449545258,1.5482189400521287,2.2171377299237327,2.760717846460618,3.129527317372621
20240913_232645,RandomGuesser,2309,1061,1248,0.4595062797747943,5.097078228086711,SUITS,SYPHS,YAHOO,DEITY,COLOG,FEASE,LEVEL,IMMIT,0,7,58,191,374,431,0.8471199653529666,1.0770896491987874,0.9878366637706343,0.8346702317290553,0.6614710180224063,0.5902322811197142,0.3451710697271546,0.8674750974447812,1.502606429192007,2.1706773618538326,2.7788602045786654,3.1584276354973198
20240913_232731,RandomGuesser,2309,1111,1198,0.48116067561715026,5.0873087308730875,PULLY,ROUGE,OTHER,MILIA,HONOR,NANCE,FLUFF,JUROR,0,10,63,198,389,451,0.8336942399307059,1.0666955391944564,0.9834710743801653,0.8461538461538461,0.6810598626104023,0.5682231655548817,0.3581637072325682,0.8860978778692075,1.5263157894736843,2.184257602862254,2.774288518155054,3.1867798665858094
20240913_233232,RandomGuesser,2309,1059,1250,0.45864010394110005,5.092540132200189,MAMEE,MOSSO,VALIS,MENTS,CREPT,JHEEL,FATTY,MINNY,0,11,60,186,365,437,0.8466868774361195,1.0563014291901256,0.9751958224543081,0.8266309204647007,0.6817738791423001,0.6040308239478364,0.35426591598094415,0.8852317020355132,1.5291557876414272,2.1992850759606792,2.770955165692008,3.1653823355068167
20240913_233417,RandomGuesser,2309,1069,1240,0.46297098310957124,5.113189897100094,AFOOT,SAUGH,TOKAY,SHAMA,YERBA,PATTA,TUKTU,REMEX,1,9,49,197,366,447,0.8384582070160242,1.067157712305026,1.010439321444106,0.7724444444444445,0.6346809547004384,0.5583876704208655,0.35296665223040274,0.8565857885615251,1.473249238799478,2.2053333333333334,2.7905504140282513,3.224066390041494
